iteration,average_score,best_score
1,0.442922,0.442922
2,0.442850,0.442922
3,0.451917,0.451917
4,0.451853,0.451917
5,0.451369,0.451917
6,0.453347,0.453347
7,0.453065,0.453347
8,0.452092,0.453347
9,0.451457,0.453347
10,0.452275,0.453347
11,0.455099,0.455099
12,0.454596,0.455099
13,0.455854,0.455854
14,0.455525,0.455854
15,0.433136,0.455854
16,0.542654,0.542654
17,0.541023,0.542654
18,0.541359,0.542654
19,0.547205,0.547205
20,0.533630,0.547205
21,0.535291,0.547205
22,0.537465,0.547205
23,0.539662,0.547205
24,0.533969,0.547205
25,0.537218,0.547205
26,0.532809,0.547205
27,0.539049,0.547205
28,0.566164,0.566164
29,0.628639,0.628639
30,0.587665,0.628639
31,0.581998,0.628639
32,0.605645,0.628639
33,0.635017,0.635017
34,0.658942,0.658942
35,0.663180,0.663180
36,0.668427,0.668427
37,0.666356,0.668427
38,0.666733,0.668427
39,0.715112,0.715112
40,0.721212,0.721212
41,0.720417,0.721212
42,0.656645,0.721212
43,0.654995,0.721212
44,0.696307,0.721212
45,0.729368,0.729368
46,0.732468,0.732468
47,0.675456,0.732468
48,0.699531,0.732468
49,0.692280,0.732468
50,0.722228,0.732468
51,0.738766,0.738766
52,0.724320,0.738766
53,0.727086,0.738766
54,0.733950,0.738766
55,0.709693,0.738766
56,0.715022,0.738766
57,0.725817,0.738766
58,0.701446,0.738766
59,0.692440,0.738766
60,0.722304,0.738766
